44,127 Program Studi,...,Rp166.000 - 25.000.000,Unggul,"Kab. Jember, Prov. Jawa Timur",Universitas Jember,-8.164266268091778,113.71658544424987
45,243 Program Studi,...,Rp1 - 24.500.000,Unggul,"Kota Makassar, Prov. Sulawesi Selatan",Universitas Hasanuddin,-5.133863622743949,119.48860090794186
46,20 Program Studi,...,Rp500.000 - 7.000.000,Baik Sekali,"Kab. Banyuwangi, Prov. Jawa Timur",Politeknik Negeri Banyuwangi,-8.293181719070962,114.3076620913173
58,8 Program Studi,...,Rp4.000.000 - 4.000.000,Baik Sekali,"Kota Semarang, Prov. Jawa Tengah",Politeknik Maritim Negeri Indonesia,-7.017368182755508,110.3989344769043
59,39 Program Studi,...,Rp500.000 - 45.000.000,Unggul,"Kota Surabaya, Prov. Jawa Timur",Politeknik Elektronika Negeri Surabaya,-7.275252949895056,112.79413847010083
60,69 Program Studi,...,Rp500.000 - 19.000.000,B,"Kota Malang, Prov. Jawa Timur",Politeknik Negeri Malang,-7.946580873680486,112.61675180055659
61,30 Program Studi,...,Rp2.400.000 - 2.400.000,B,"Kota Medan, Prov. Sumatera Utara",Politeknik Negeri Medan,3.563528319777243,98.65540753424486
62,175 Program Studi,...,Rp1.200 - 25.500.000,Unggul,"Kota Malang, Prov. Jawa Timur",Universitas Negeri Malang,-7.960144384860345,112.61857916597089
63,196 Program Studi,...,Rp1 - 3.000.000,Unggul,"Kab. Sleman, Prov. D.I. Yogyakarta",Universitas Negeri Yogyakarta,-7.773379435561025,110.38708649760005
64,36 Program Studi,...,Rp500.000 - 2.400.000,Baik Sekali,"Kota Langsa, Prov. Aceh",Universitas Samudra,4.458178581335716,97.9725607248276
65,24 Program Studi,...,Rp500.000 - 11.000.000,Baik Sekali,"Kota Bandung, Prov. Jawa Barat",Politeknik Manufaktur Bandung,-6.876907533180071,107.62120100526099
66,50 Program Studi,...,Rp75.000 - 25.000.000,B,"Kab. Aceh Utara, Prov. Aceh",Universitas Malikussaleh,5.233367421704108,96.98647505288662
67,34 Program Studi,...,Rp240.000 - 170.350.000,B,"Kab. Bangka, Prov. Bangka Belitung",Universitas Bangka Belitung,-2.07069733589331,106.07930372625756
70,39 Program Studi,...,Rp -,Baik Sekali,"Kota Tasikmalaya, Prov. Jawa Barat",Universitas Siliwangi,-7.350245793282234,108.22247113369649
7,16 Program Studi,...,Rp500.000 - 123.456.789,Baik,"Kab. Ketapang, Prov. Kalimantan Barat",Politeknik Negeri Ketapang,-1.8165168744700537,109.98929926479533
9,236 Program Studi,...,Rp139.065 - 161.400.000,Unggul,"Kota Surakarta, Prov. Jawa Tengah",Universitas Sebelas Maret,-7.559226302303981,110.85684053546956
10,3 Program Studi,...,Rp -,Tidak Terakreditasi,"Kota Yogyakarta, Prov. D.I. Yogyakarta",Akademi Komunitas Negeri Seni dan Budaya Yogyakarta,-7.8426826305645605,110.36193483291916
18,224 Program Studi,...,Rp1 - 36.000.001,Unggul,"Kota Bandung, Prov. Jawa Barat",Universitas Pendidikan Indonesia,-6.861008333825762,107.59230194113576
19,45 Program Studi,...,Rp250.000 - 3.000.000,Baik,"Kab. Majene, Prov. Sulawesi Barat",Universitas Sulawesi Barat,-3.5369563283156404,118.9912084382594
20,88 Program Studi,...,Rp250.000 - 122.000.000,Baik Sekali,"Kota Mataram, Prov. Nusa Tenggara Barat",Universitas Mataram,-8.586682215368306,116.09224542023158
21,349 Program Studi,...,Rp1 - 23.000.000,Unggul,"Kab. Sleman, Prov. D.I. Yogyakarta",Universitas Gadjah Mada,-7.770391342068039,110.37910277456822
22,44 Program Studi,...,Rp1 - 12.000.000,A,"Kab. Bantul, Prov. D.I. Yogyakarta",Institut Seni Indonesia Yogyakarta,-7.851272979608131,110.35696787348807
23,141 Program Studi,...,Rp425.000 - 25.000.000,Unggul,"Kota Gorontalo, Prov. Gorontalo",Universitas Negeri Gorontalo,0.5569711466698144,123.0637380114387
24,111 Program Studi,...,Rp -,Unggul,"Kota Surabaya, Prov. Jawa Timur",Institut Teknologi Sepuluh Nopember,-7.281903524437156,112.79523378011903
38,209 Program Studi,...,Rp500.000 - 30.000.000,Unggul,"Kota Medan, Prov. Sumatera Utara",Universitas Sumatera Utara,3.5621043244264565,98.65706649642266
47,77 Program Studi,...,Rp2.500.000 - 60.000.000,Baik Sekali,"Kota Palangka Raya, Prov. Kalimantan Tengah",Universitas Palangka Raya,-2.21550473570494,113.90214292711669
48,154 Program Studi,...,Rp500.000 - 28.450.000,Unggul,"Kota Bandar Lampung, Prov. Lampung",Universitas Lampung,-5.363485994907897,105.24274844720195
49,40 Program Studi,56.28 % per tahun,Rp500.000 - 4.250.000,Baik Sekali,"Kota Lhokseumawe, Prov. Aceh",Politeknik Negeri Lhokseumawe,5.122153098616255,97.15918705594567
50,63 Program Studi,62.47 % per tahun,Rp1.000.000 - 4.323.000,Baik Sekali,"Kota Makassar, Prov. Sulawesi Selatan",Politeknik Negeri Ujung Pandang,-5.129420538645963,119.48129597017459
51,12 Program Studi,48.28 % per tahun,Rp500.000 - 9.000.000,Baik,"Kab. Indramayu, Prov. Jawa Barat",Politeknik Negeri Indramayu,-6.407649313389123,108.28243959206351
52,30 Program Studi,35.41 % per tahun,Rp500.000 - 37.000.000,Baik Sekali,"Kota Batam, Prov. Kepulauan Riau",Politeknik Negeri Batam,1.1199233763867213,104.04877725022217
53,37 Program Studi,...,Rp200.000 - 33.300.000,Unggul,"Kab. Bangkalan, Prov. Jawa Timur",Universitas Trunojoyo,-7.126608803817437,112.72389262207439
54,24 Program Studi,...,Rp500.000 - 9.500.000,Unggul,"Kota Surabaya, Prov. Jawa Timur",Politeknik Perkapalan Negeri Surabaya,-7.276753183958769,112.79600370492741
55,54 Program Studi,...,Rp1 - 12.500.000,Unggul,"Kota Depok, Prov. Jawa Barat",Politeknik Negeri Jakarta,-6.369740305161729,106.82368404161056
56,227 Program Studi,...,Rp1.000.000 - 20.000.000,Unggul,"Kota Surabaya, Prov. Jawa Timur",Universitas Airlangga,-7.267938515536854,112.78519404283902
57,10 Program Studi,...,Rp -,Tidak Terakreditasi,"Kota Bandung, Prov. Jawa Barat",Sekolah Tinggi Seni Indonesia Bandung,-6.942630093767058,107.6287385387509
68,190 Program Studi,...,Rp100.000 - 15.000.000,Unggul,"Kota Padang, Prov. Sumatera Barat",Universitas Negeri Padang,-0.8944801537462832,100.35202035975796
69,13 Program Studi,...,Rp500.000 - 3.500.000,B,"Kab. Tanah Laut, Prov. Kalimantan Selatan",Politeknik Negeri Tanah Laut,-3.7528342491947093,114.76775714810539
71,7 Program Studi,...,Rp500.000 - 10.000.000,Baik,"Kab. Subang, Prov. Jawa Barat",Politeknik Negeri Subang,-6.56556726329581,107.8277335614496
72,52 Program Studi,...,Rp300.000 - 302.675.000,Baik Sekali,"Kota Jakarta Selatan, Prov. D.K.I. Jakarta",Universitas Pembangunan Nasional Veteran Jakarta,-6.315085448145098,106.7951589495902
73,158 Program Studi,...,Rp500.000 - 62.500.000,Unggul,"Kota Bandung, Prov. Jawa Barat",Institut Teknologi Bandung,-6.889921121881575,107.61110317199397
74,44 Program Studi,...,Rp500.000 - 10.000.000,Unggul,"Kota Surabaya, Prov. Jawa Timur",Universitas Pembangunan Nasional Veteran Jawa Timur,-7.333189436907113,112.78871628827811
75,303 Program Studi,...,Rp1 - 16.000.000,Unggul,"Kota Jakarta Pusat, Prov. D.K.I. Jakarta",Universitas Indonesia,-6.359845823338877,106.82718293361499
76,107 Program Studi,...,Rp1 - 20.000.000,Unggul,"Kab. Muaro Jambi, Prov. Jambi",Universitas Jambi,-1.6099730202642775,103.51715375151014
77,27 Program Studi,...,Rp500.000 - 15.000.000,B,"Kota Padang Panjang, Prov. Sumatera Barat",Institut Seni Indonesia Padang Panjang,-0.45845129499807935,100.40374382181989
78,254 Program Studi,...,Rp2.000 - 255.000.000,Unggul,"Kab. Bogor, Prov. Jawa Barat",Institut Pertanian Bogor,-6.559942901940219,106.72571714558609
79,34 Program Studi,...,Rp250.000 - 67.500.000,B,"Kab. Sleman, Prov. D.I. Yogyakarta",Universitas Pembangunan Nasional Veteran Yogyakarta,-7.761758136627666,110.4099350254881
80,11 Program Studi,...,Rp1.500.000 - 3.000.000,Baik Sekali,"Kab. Sambas, Prov. Kalimantan Barat",Politeknik Negeri Sambas,1.382535447897658,109.31734199439828
81,3 Program Studi,...,Rp500.000 - 2.000.000,Baik,"Kab. Rejang Lebong, Prov. Bengkulu",Akademi Komunitas Negeri Rejang Lebong,-3.475626736441134,102.51719562015123
82,26 Program Studi,...,Rp500.000 - 3.750.000,B,"Kab. Lima Puluh Koto, Prov. Sumatera Barat",Politeknik Pertanian Negeri Payakumbuh,-0.1691645034263543,100.66571003856792
83,45 Program Studi,...,Rp1 - 7.500.000,Baik Sekali,"Kab. Badung, Prov. Bali",Politeknik Negeri Bali,-8.798581371630384,115.16250309321953
84,9 Program Studi,...,Rp -,Baik Sekali,"Kab. Sampang, Prov. Jawa Timur",Politeknik Negeri Madura,-7.2149359936445245,113.27241910479593
85,36 Program Studi,...,Rp500.000 - 22.500.000,Baik Sekali,"Kota Tarakan, Prov. Kalimantan Utara",Universitas Borneo Tarakan,3.304471441604209,117.65001293908476
86,61 Program Studi,...,Rp500.000 - 7.500.000,B,"Kab. Jember, Prov. Jawa Timur",Politeknik Negeri Jember,-8.158872063920478,113.72383210117502
87,34 Program Studi,...,Rp100.000 - 7.500.000,A,"Kota Semarang, Prov. Jawa Tengah",Politeknik Negeri Semarang,-7.051667916612229,110.43611596057845
88,116 Program Studi,...,Rp50.000 - 168.900.000,Unggul,"Kota Pontianak, Prov. Kalimantan Barat",Universitas Tanjungpura,-0.06027799213880247,109.34586988848406
89,16 Program Studi,...,Rp500.000 - 4.500.000,Baik Sekali,"Kota Samarinda, Prov. Kalimantan Timur",Politeknik Pertanian Negeri Samarinda,-0.5356599936445585,117.12473841729333
90,140 Program Studi,...,Rp250.000 - 230.000.000,Unggul,"Kab. Ogan Ilir, Prov. Sumatera Selatan",Universitas Sriwijaya,-2.9850714338675233,104.73294828318267
91,61 Program Studi,...,Rp1.000.000 - 25.000.000,Baik Sekali,"Kota Bandar Lampung, Prov. Lampung",Politeknik Negeri Lampung,-5.357950523925681,105.23382013077783
92,135 Program Studi,...,Rp300.000 - 525.000.000,Unggul,"Kab. Banyumas, Prov. Jawa Tengah",Universitas Jenderal Soedirman,-7.403826515459966,109.24709384060212
93,15 Program Studi,...,Rp500.000 - 6.500.000,Baik,"Kab. Cilacap, Prov. Jawa Tengah",Politeknik Negeri Cilacap,-7.717011280928705,109.02066313349609
94,14 Program Studi,...,Rp -,Baik Sekali,"Kota Balikpapan, Prov. Kalimantan Timur",Politeknik Negeri Balikpapan,-1.20165937695103,116.8863586284274
95,56 Program Studi,...,Rp100.000 - 25.000.000,B,"Kota Ternate, Prov. Maluku Utara",Universitas Khairun,0.827474444578199,127.38400139916726
96,175 Program Studi,...,Rp500.000 - 45.000.000,Unggul,"Kab. Badung, Prov. Bali",Universitas Udayana,-8.79821742225139,115.17242028602955
97,23 Program Studi,34.30 % per tahun,Rp500.000 - 13.000.000,Baik Sekali,"Kota Balikpapan, Prov. Kalimantan Timur",Institut Teknologi Kalimantan,-1.149584793025918,116.86358371308383
98,109 Program Studi,43.86 % per tahun,Rp500.000 - 17.000.000,B,"Kota Ambon, Prov. Maluku",Universitas Pattimura,-3.6543984210019707,128.1959643973753
99,23 Program Studi,60.81 % per tahun,Rp2.600.000 - 5.000.000,B,"Kota Manado, Prov. Sulawesi Utara",Politeknik Negeri Manado,1.5188050590414148,124.88638318770673
100,170 Program Studi,61.34 % per tahun,Rp1 - 37.500.000,Baik,"Kota Banjarmasin, Prov. Kalimantan Selatan",Universitas Lambung Mangkurat,-3.2976620909967154,114.58652875727249
101,8 Program Studi,36.40 % per tahun,Rp1.500.000 - 2.750.000,Baik,"Kab. Fak-Fak, Prov. Papua Barat",Politeknik Negeri Fakfak,-2.914678099158737,132.28609638848408
102,42 Program Studi,25.55 % per tahun,Rp250.000 - 30.000.000,Baik,"Kab. Lampung Selatan, Prov. Lampung",Institut Teknologi Sumatera,-5.357893823428012,105.3155887322882
103,18 Program Studi,...,Rp500.000 - 7.000.000,Baik Sekali,"Kota Madiun, Prov. Jawa Timur",Politeknik Negeri Madiun,-7.647163229684162,111.52638913150457
104,108 Program Studi,...,Rp800.000 - 850.000.000,Unggul,"Kota Palu, Prov. Sulawesi Tengah",Universitas Tadulako,-0.8362449743435195,119.89378864174705
105,4 Program Studi,...,Rp -,Baik,"Kota Blitar, Prov. Jawa Timur",Akademi Komunitas Negeri Putra Sang Fajar Blitar,-8.096782237278644,112.17991887260682
106,16 Program Studi,...,Rp500.000 - 3.750.000,Baik,"Kab. Timor Tengah Utara, Prov. Nusa Tenggara Timur",Universitas Timor,-9.511797337349769,124.51252511951135
107,33 Program Studi,...,Rp500.000 - 500.000,Baik Sekali,"Kota Tanjungpinang, Prov. Kepulauan Riau",Universitas Maritim Raja Ali Haji (UMRAH),0.8714678020196183,104.4775874714727
108,29 Program Studi,...,Rp500.000 - 7.000.000,B,"Kab. Pangkajene Kepulauan, Prov. Sulawesi Selatan",Politeknik Pertanian Negeri Pangkajene Kepulauan,-4.5670591045551445,119.60212772746486
109,130 Program Studi,...,Rp250.000 - 70.000.000,Unggul,"Kota Pekanbaru, Prov. Riau",Universitas Riau,0.4766490218706285,101.38185890538881
